Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
"JMT7S5F/,DNK,""1,000"",BMS,BMX,EEC,25028,1/18/21 3:30,1/18/21 16:45,LSC,Legally sized catch"
"JOTBS2F5,DNK,""4,800"",OTB,TOR,EEC,9040,1/6/21 11:00,1/6/21 15:50,LSC,Legally sized catch"
JOTBS2F7,DNK,15,OTB,SKR,EEC,6017,1/7/21 6:30,1/7/21 12:10,LSC,Legally sized catch
JOTBS3F.,DNK,2,GN,ISG,EEC,6017,1/24/21 8:00,1/24/21 14:50,LSC,Legally sized catch
JOTBS3F0,DNK,12,GN,RSP,EEC,6015,1/12/21 7:45,1/12/21 14:00,LSC,Legally sized catch
JOTBS3F6,DNK,3,GTR,SLH,EEC,1012,1/24/21 5:35,1/24/21 10:12,LSC,Legally sized catch
JOTBS5F3,DNK,35,OTB,TNG,EEC,29011,1/8/21 13:30,1/10/21 4:00,LSC,Legally sized catch
JOTBS6F6,DNK,35,OTB,RSP,EEC,27015,1/8/21 23:00,1/10/21 21:00,LSC,Legally sized catch
JOTBS7F6,DNK,6,OTB,PGH,EEC,4015,1/1/21 7:30,1/1/21 15:45,LSC,Legally sized catch
JOTBS9F.,DNK,19,OTB,TOR,EEC,6015,1/2/21 4:10,1/2/21 19:05,LSC,Legally sized catch
JOTDS2F/,DNK,80,GTR,TOR,EEC,31010,1/8/21 6:45,1/8/21 13:11,LSC,Legally sized catch
JOTDS5F4,DNK,20,GTR,AND,EEC,31007,1/3/21 7:10,1/3/21 14:00,LSC,Legally sized catch
JOTDS7F5,DNK,210,OTB,TOR,EEC,8027,1/14/21 1:30,1/14/21 19:20,LSC,Legally sized catch
JOTDS8F4,DNK,125,GN,SKR,EEC,31010,1/2/21 4:00,1/2/21 17:00,LSC,Legally sized catch
JOTDS9F0,DNK,78,OTB,SKR,EEC,28001,1/5/21 6:45,1/5/21 18:50,LSC,Legally sized catch
